algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
LTFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2194,282,0.961228,0.059244,post
LTFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,24955,286,0.869080,0.063358,cycle_expansion
LTFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,648,26,0.928793,0.005417,post
LTFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,726,26,0.928793,0.005417,post
LTFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,198,25,0.917115,0.005242,post
LTFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,551,25,0.924889,0.005219,post
LTFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,25380,490,0.605405,0.136719,cycle_expansion
LTFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2502,245,0.717583,0.060152,post
LTFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2552,245,0.717583,0.060152,post
LTFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,252,245,0.642075,0.064271,post
LTFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1772,245,0.712454,0.060404,post
LTFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,24749,490,0.927007,0.107174,cycle_expansion
LTFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2476,245,0.976683,0.050862,post
LTFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2508,245,0.976683,0.050862,post
LTFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,242,245,0.970689,0.051020,post
LTFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1749,245,0.970689,0.051020,post
LTFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,25290,643,0.579828,0.187354,cycle_expansion
LTFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3784,321,0.727939,0.078773,post
LTFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,3760,319,0.728296,0.078244,post
LTFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,270,232,0.597970,0.063509,post
LTFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1682,231,0.658963,0.059567,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,39999,428,0.539675,0.127647,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1200,97,0.618215,0.025655,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,1317,97,0.618215,0.025655,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,238,96,0.589785,0.026144,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,843,96,0.611790,0.025552,post
DualFC,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,40057,522,0.764531,0.127193,cycle_expansion
DualFC_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2669,260,0.905265,0.056216,post
DualFC_DMD_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,2773,260,0.905265,0.056216,post
DualFC_NE,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,232,86,0.727035,0.020619,post
DualFC_NE_DMD,table/sixgrid/sixgrid_237_20,9994,14733,495,491,561,248,787,86,0.749294,0.020264,post
